id;uid;title;sub_title;description;long_description;created_at;updated_at
1;254fe14d-5bc0-4f23-9b01-b3402dc148d9;Ball white;Chief;system Bahamian Dollar;../fake-data/blob/hipster.txt;2020-02-11T00:45:17;2020-02-10T16:50:52
2;0a384df9-bd47-41a9-91ca-6dfa668038a4;Shoes Riel;Fish;olive Illinois;../fake-data/blob/hipster.txt;2020-02-10T20:35:34;2020-02-10T20:13:48
3;264bdc29-703c-41ff-82d1-37454d29a25d;Awesome Cotton Table Concrete plum;Chief;Handcrafted Steel Bacon;../fake-data/blob/hipster.txt;2020-02-11T04:17:26;2020-02-11T16:16:14
4;3525bdf0-52d3-4500-96c9-3e24aa56b80c;Books Avon;Kansas;Intranet;../fake-data/blob/hipster.txt;2020-02-10T20:44:54;2020-02-11T06:58:40
5;f4396259-64b6-4e54-8f42-fbfa42dcfb8d;Rapid;card;24/7;../fake-data/blob/hipster.txt;2020-02-11T01:51:09;2020-02-11T09:01:29
6;2f6e3eea-44de-437c-90c8-2f3ca90ce6ce;Applications Fresh override;Granite paradigms Clothing;Avon Luxembourg;../fake-data/blob/hipster.txt;2020-02-11T00:49:32;2020-02-11T12:04:01
7;a8a7766f-ff7e-43f8-bc5b-faa378ea5bbd;Shoes;Oklahoma;ROI;../fake-data/blob/hipster.txt;2020-02-11T11:28:01;2020-02-11T00:57:05
8;afb5aa0b-4d4d-490d-86a4-b39751da9dff;Strategist Chief Tools;Michigan;Developer Soft Data;../fake-data/blob/hipster.txt;2020-02-10T18:29:41;2020-02-11T06:47:49
9;392a8650-cc37-4d5a-a2bd-4247cd24f730;Liaison Shirt end-to-end;Kansas;HTTP turn-key navigating;../fake-data/blob/hipster.txt;2020-02-11T08:04:33;2020-02-10T21:33:43
10;f1865ddf-1fda-4c72-ad0a-557c5b397a74;THX next-generation;Engineer National Accounts;Infrastructure Auto Loan Account;../fake-data/blob/hipster.txt;2020-02-10T16:33:48;2020-02-11T13:41:00
